Genus,Source,Cluster,total_source,number
Clostridium,Dairy,vanA_YXcluster,2,0
Clostridium,Dairy,vanA_cluster,2,0
Clostridium,Dairy,vanB_YXcluster,2,0
Clostridium,Dairy,vanB_cluster,2,0
Clostridium,Dairy,vanRSPt_cluster,2,0
Clostridium,Dairy,vanGZ_cluster,2,0
Clostridium,Dairy,vanG_cluster,2,0
Clostridium,Fruit/Vegetables,vanA_YXcluster,32,0
Clostridium,Fruit/Vegetables,vanA_cluster,32,0
Clostridium,Fruit/Vegetables,vanB_YXcluster,32,0
Clostridium,Fruit/Vegetables,vanB_cluster,32,0
Clostridium,Fruit/Vegetables,vanRSPt_cluster,32,0
Clostridium,Fruit/Vegetables,vanGZ_cluster,32,0
Clostridium,Fruit/Vegetables,vanG_cluster,32,0
Clostridium,Clinical,vanA_YXcluster,1268,0
Clostridium,Clinical,vanA_cluster,1268,0
Clostridium,Clinical,vanB_YXcluster,1268,0
Clostridium,Clinical,vanB_cluster,1268,1
Clostridium,Clinical,vanRSPt_cluster,1268,0
Clostridium,Clinical,vanGZ_cluster,1268,0
Clostridium,Clinical,vanG_cluster,1268,0
Edwardsiella,Animal feed,vanA_YXcluster,0,0
Edwardsiella,Animal feed,vanA_cluster,0,0
Edwardsiella,Animal feed,vanB_YXcluster,0,0
Edwardsiella,Animal feed,vanB_cluster,0,0
Edwardsiella,Animal feed,vanRSPt_cluster,0,0
Edwardsiella,Animal feed,vanGZ_cluster,0,0
Edwardsiella,Animal feed,vanG_cluster,0,0
Edwardsiella,Raw pet food,vanA_YXcluster,0,0
Edwardsiella,Raw pet food,vanA_cluster,0,0
Edwardsiella,Raw pet food,vanB_YXcluster,0,0
Edwardsiella,Raw pet food,vanB_cluster,0,0
Edwardsiella,Raw pet food,vanRSPt_cluster,0,0
Edwardsiella,Raw pet food,vanGZ_cluster,0,0
Edwardsiella,Raw pet food,vanG_cluster,0,0
Edwardsiella,Pet food,vanA_YXcluster,0,0
Edwardsiella,Pet food,vanA_cluster,0,0
