Genus,Source,Class,number,total,Percent
Shigella,Clinical,"lincosamide,",5,11270,0.044365572
Shigella,Animal,"lincosamide,",0,24,0
Shigella,Animal environment,"lincosamide,",,,
Shigella,Animal feces,"lincosamide,",,,
Shigella,Farm,"lincosamide,",,,
Shigella,Egg,"lincosamide,",,,
Shigella,Farm sewage,"lincosamide,",,,
Shigella,Fish/Seafood,"lincosamide,",0,2,0
Shigella,Food,"lincosamide,",0,35,0
Shigella,Meat,"lincosamide,",0,12,0
Shigella,Reptile,"lincosamide,",,,
Shigella,Cider,"lincosamide,",,,
Shigella,Dairy,"lincosamide,",,,
Shigella,Slaughterhouse,"lincosamide,",,,
Shigella,Farm water,"lincosamide,",,,
Shigella,Flour,"lincosamide,",,,
Shigella,Fruit/vegetables,"lincosamide,",0,1,0
Shigella,Seeds,"lincosamide,",,,
Shigella,Spice_Herbs,"lincosamide,",,,
Shigella,Insect,"lincosamide,",,,
Shigella,Nuts,"lincosamide,",,,
Shigella,Plant,"lincosamide,",,,
Shigella,Sewage,"lincosamide,",0,2,0
Shigella,Wastewater,"lincosamide,",,,
Shigella,Water,"lincosamide,",0,2,0
Shigella,Tea,"lincosamide,",,,
Shigella,Clinical,lincosamide_streptogramin,0,11270,0
Shigella,Animal,lincosamide_streptogramin,0,24,0
Shigella,Animal environment,lincosamide_streptogramin,,,
Shigella,Animal feces,lincosamide_streptogramin,,,
Shigella,Farm,lincosamide_streptogramin,,,
Shigella,Egg,lincosamide_streptogramin,,,
Shigella,Farm sewage,lincosamide_streptogramin,,,
Shigella,Fish/Seafood,lincosamide_streptogramin,0,2,0
Shigella,Food,lincosamide_streptogramin,0,35,0
Shigella,Meat,lincosamide_streptogramin,0,12,0
Shigella,Reptile,lincosamide_streptogramin,,,
Shigella,Cider,lincosamide_streptogramin,,,
Shigella,Dairy,lincosamide_streptogramin,,,
Shigella,Slaughterhouse,lincosamide_streptogramin,,,
Shigella,Farm water,lincosamide_streptogramin,,,
Shigella,Flour,lincosamide_streptogramin,,,
Shigella,Fruit/vegetables,lincosamide_streptogramin,0,1,0
Shigella,Seeds,lincosamide_streptogramin,,,
Shigella,Spice_Herbs,lincosamide_streptogramin,,,
Shigella,Insect,lincosamide_streptogramin,,,
Shigella,Nuts,lincosamide_streptogramin,,,
Shigella,Plant,lincosamide_streptogramin,,,
Shigella,Sewage,lincosamide_streptogramin,0,2,0
Shigella,Wastewater,lincosamide_streptogramin,,,
Shigella,Water,lincosamide_streptogramin,0,2,0
Shigella,Tea,lincosamide_streptogramin,,,
