Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Reptile,qacEdelta,0,0
Aeromonas salmonicida,330,Reptile,qacC,0,0
Aeromonas salmonicida,330,Reptile,qacE,0,0
Aeromonas salmonicida,330,Reptile,qacA,0,0
Aeromonas salmonicida,330,Reptile,qacB,0,0
Aeromonas salmonicida,330,Reptile,qacF,0,0
Aeromonas salmonicida,330,Reptile,qacG,0,0
Aeromonas salmonicida,330,Reptile,qacH,0,0
Aeromonas salmonicida,330,Reptile,qacJ,0,0
Aeromonas salmonicida,330,Reptile,qacK,0,0
Aeromonas salmonicida,330,Reptile,qacL,0,0
Aeromonas salmonicida,330,Reptile,qacM,0,0
Aeromonas salmonicida,330,Reptile,sugE,0,0
Aeromonas salmonicida,330,Reptile,bcrABC,0,0
Aeromonas salmonicida,330,Reptile,crcB,0,0
Aeromonas salmonicida,330,Reptile,srp,0,0
Aeromonas salmonicida,330,Reptile,smd,0,0
Aeromonas salmonicida,330,Reptile,sde,0,0
Aeromonas salmonicida,330,Reptile,lmrS,0,0
Aeromonas salmonicida,330,Reptile,smr,0,0
Aeromonas salmonicida,330,Reptile,ssmE,0,0
Aeromonas salmonicida,330,Reptile,tbtR,0,0
Aeromonas salmonicida,330,Reptile,ttg,0,0
Aeromonas salmonicida,330,Reptile,ttgR,0,0
Aeromonas salmonicida,330,Reptile,ttgT,0,0
Aeromonas salmonicida,330,Reptile,mtrF,0,0
Aeromonas salmonicida,330,Reptile,emrE,0,0
Aeromonas salmonicida,330,Cider,qac,0,0
Aeromonas salmonicida,330,Cider,qacEdelta,0,0
Aeromonas salmonicida,330,Cider,qacC,0,0
Aeromonas salmonicida,330,Cider,qacE,0,0
Aeromonas salmonicida,330,Cider,qacA,0,0
Aeromonas salmonicida,330,Cider,qacB,0,0
Aeromonas salmonicida,330,Cider,qacF,0,0
Aeromonas salmonicida,330,Cider,qacG,0,0
Aeromonas salmonicida,330,Cider,qacH,0,0
Aeromonas salmonicida,330,Cider,qacJ,0,0
Aeromonas salmonicida,330,Cider,qacK,0,0
Aeromonas salmonicida,330,Cider,qacL,0,0
Aeromonas salmonicida,330,Cider,qacM,0,0
Aeromonas salmonicida,330,Cider,sugE,0,0
Aeromonas salmonicida,330,Cider,bcrABC,0,0
Aeromonas salmonicida,330,Cider,crcB,0,0
Aeromonas salmonicida,330,Cider,srp,0,0
Aeromonas salmonicida,330,Cider,smd,0,0
Aeromonas salmonicida,330,Cider,sde,0,0
Aeromonas salmonicida,330,Cider,lmrS,0,0
Aeromonas salmonicida,330,Cider,smr,0,0
Aeromonas salmonicida,330,Cider,ssmE,0,0
Aeromonas salmonicida,330,Cider,tbtR,0,0
Aeromonas salmonicida,330,Cider,ttg,0,0
Aeromonas salmonicida,330,Cider,ttgR,0,0
Aeromonas salmonicida,330,Cider,ttgT,0,0
Aeromonas salmonicida,330,Cider,mtrF,0,0
Aeromonas salmonicida,330,Cider,emrE,0,0
Aeromonas salmonicida,330,Dairy,qac,0,0
Aeromonas salmonicida,330,Dairy,qacEdelta,0,0
Aeromonas salmonicida,330,Dairy,qacC,0,0
Aeromonas salmonicida,330,Dairy,qacE,0,0
Aeromonas salmonicida,330,Dairy,qacA,0,0
Aeromonas salmonicida,330,Dairy,qacB,0,0
Aeromonas salmonicida,330,Dairy,qacF,0,0
